ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime,Datetime,OccupancyRatio,Price,Traffic_enc,VehicleWeight,Hour,IsWeekend,Queue_Special,LogQueue,RawDemand,DemandScore,DemandPrice,CompetitorAvgPrice,CompetitivePrice,Reroute
7876,Broad Street,690,26.13795775,91.74099445,600,car,low,2,0,04-10-2016,09:59:00,2016-10-04 09:59:00,0.8695652173913043,50.0,0.0,1.0,9,0,0,1.0986122886681098,0.8045050664292742,0.18630491905118862,22.60826886671664,21.685064678126185,21.25136338456366,"Suggest reroute: competitor avg price=21.69, your price=22.61, diff=0.92"
2629,BHMEURBRD01,470,26.14901995,91.7395035,430,car,low,3,0,04-10-2016,10:26:00,2016-10-04 10:26:00,0.9148936170212766,50.0,0.0,1.0,10,0,0,1.3862943611198906,0.8847056807346164,0.20705815406447278,22.89881415690262,22.308966779964504,21.862787444365214,"Suggest reroute: competitor avg price=22.31, your price=22.9, diff=0.59"
7877,Broad Street,690,26.13795775,91.74099445,642,car,low,4,0,04-10-2016,10:26:00,2016-10-04 10:26:00,0.9304347826086956,50.0,0.0,1.0,10,0,0,1.6094379124341003,0.937104973791168,0.2206173375289831,23.088642725405762,22.137263839087264,21.694518562305518,"Suggest reroute: competitor avg price=22.14, your price=23.09, diff=0.95"
2633,BHMEURBRD01,470,26.14901995,91.7395035,464,car,high,8,0,04-10-2016,12:29:00,2016-10-04 12:29:00,0.9872340425531915,50.0,2.0,1.0,12,0,0,2.1972245773362196,0.7830619367438397,0.18075615469774012,22.530586165768362,21.80566510701278,21.369551804872522,"Suggest reroute: competitor avg price=21.81, your price=22.53, diff=0.72"
7881,Broad Street,690,26.13795775,91.74099445,683,car,high,9,0,04-10-2016,12:29:00,2016-10-04 12:29:00,0.9898550724637681,50.0,2.0,1.0,12,0,0,2.302585092994046,0.8054445548306933,0.18654802720884778,22.61167238092387,21.80566510701278,21.369551804872522,"Suggest reroute: competitor avg price=21.81, your price=22.61, diff=0.81"
1321,BHMBCCTHL01,387,26.14449459,91.73620513,334,car,high,8,0,04-10-2016,12:29:00,2016-10-04 12:29:00,0.8630490956072352,50.0,2.0,1.0,12,0,0,2.1972245773362196,0.7209694632708615,0.16468870053043463,22.305641807426085,21.997785018690152,21.557829318316347,"Suggest reroute: competitor avg price=22.0, your price=22.31, diff=0.31"
7882,Broad Street,690,26.13795775,91.74099445,660,bike,high,8,0,04-10-2016,13:02:00,2016-10-04 13:02:00,0.9565217391304348,50.0,2.0,0.5,13,0,0,2.1972245773362196,0.6927057850324614,0.15737500646584573,22.20325009052184,21.858546932554802,21.421375993903705,"Suggest reroute: competitor avg price=21.86, your price=22.2, diff=0.34"
1322,BHMBCCTHL01,387,26.14449459,91.73620513,333,car,high,7,0,04-10-2016,13:02:00,2016-10-04 13:02:00,0.8604651162790697,50.0,2.0,1.0,13,0,0,2.0794415416798357,0.696120866475502,0.15825871525524596,22.21562201357344,21.874190317713087,21.436706511358825,"Suggest reroute: competitor avg price=21.87, your price=22.22, diff=0.34"
2634,BHMEURBRD01,470,26.14901995,91.7395035,458,car,high,8,0,04-10-2016,13:02:00,2016-10-04 13:02:00,0.9744680851063829,50.0,2.0,1.0,13,0,0,2.1972245773362196,0.7766789580204355,0.1791044534149137,22.50746234780879,21.967282780806062,21.52793712518994,"Suggest reroute: competitor avg price=21.97, your price=22.51, diff=0.54"
1323,BHMBCCTHL01,387,26.14449459,91.73620513,331,car,high,7,0,04-10-2016,13:29:00,2016-10-04 13:29:00,0.8552971576227391,50.0,2.0,1.0,13,0,0,2.0794415416798357,0.6935368871473367,0.1575900678797693,22.206260950316768,21.839927237073617,21.403128692332146,"Suggest reroute: competitor avg price=21.84, your price=22.21, diff=0.37"
2635,BHMEURBRD01,470,26.14901995,91.7395035,450,car,high,8,0,04-10-2016,13:29:00,2016-10-04 13:29:00,0.9574468085106383,50.0,2.0,1.0,13,0,0,2.1972245773362196,0.7681683197225632,0.17690218503781183,22.476630590529364,21.844448554790418,21.40755958369461,"Suggest reroute: competitor avg price=21.84, your price=22.48, diff=0.63"
7884,Broad Street,690,26.13795775,91.74099445,639,car,high,6,0,04-10-2016,14:02:00,2016-10-04 14:02:00,0.9260869565217391,50.0,2.0,1.0,14,0,0,1.9459101490553132,0.7022255080719323,0.1598383922043557,22.23773749086098,21.19571512809067,20.771800825528853,"Suggest reroute: competitor avg price=21.2, your price=22.24, diff=1.04"
2639,BHMEURBRD01,470,26.14901995,91.7395035,411,car,low,3,0,04-10-2016,15:30:00,2016-10-04 15:30:00,0.874468085106383,50.0,0.0,1.0,15,0,0,1.3862943611198906,0.8644929147771696,0.2018277666688558,22.825588733363983,22.14281567959071,21.699959365998897,"Suggest reroute: competitor avg price=22.14, your price=22.83, diff=0.68"
1335,BHMBCCTHL01,387,26.14449459,91.73620513,337,bike,high,5,0,05-10-2016,10:30:00,2016-10-05 10:30:00,0.8708010335917312,50.0,2.0,0.5,10,0,0,1.791759469228055,0.5687524106414766,0.12530002135872598,21.754200299022163,21.23053620557458,20.80592548146309,"Suggest reroute: competitor avg price=21.23, your price=21.75, diff=0.52"
2650,BHMEURBRD01,470,26.14901995,91.7395035,447,car,high,8,0,05-10-2016,12:04:00,2016-10-05 12:04:00,0.951063829787234,50.0,2.0,1.0,12,0,0,2.1972245773362196,0.764976830360861,0.17607633439639858,22.465068681549578,21.873866183260574,21.43638885959536,"Suggest reroute: competitor avg price=21.87, your price=22.47, diff=0.59"
1338,BHMBCCTHL01,387,26.14449459,91.73620513,337,car,high,8,0,05-10-2016,12:04:00,2016-10-05 12:04:00,0.8708010335917312,50.0,2.0,1.0,12,0,0,2.1972245773362196,0.7248454322631096,0.16569167159364967,22.319683402311096,21.77814912597595,21.34258614345643,"Suggest reroute: competitor avg price=21.78, your price=22.32, diff=0.54"
7899,Broad Street,690,26.13795775,91.74099445,662,car,high,8,0,05-10-2016,12:30:00,2016-10-05 12:30:00,0.9594202898550724,50.0,2.0,1.0,12,0,0,2.1972245773362196,0.7691550603947802,0.1771575205018236,22.480205287025534,21.637395802646985,21.204647886594046,"Suggest reroute: competitor avg price=21.64, your price=22.48, diff=0.84"
